"DocCount","DocUuid","DocDoi","DocArticleUuid","BibYear","BibSource","BibVolume","BibIssue","BibFirstPage","BibLastPage","CitTreatCitCount","CitFigCitCount","CitTabCitCount"
"1","03BD87E66B19FFBDAF89FB28FD1E3803","http://doi.org/10.5281/zenodo.4496532","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","121","121","2","2","1"
"1","03BD87E66B19FFBEAF89FD83FD1E3E59","http://doi.org/10.5281/zenodo.4560714","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","121","124","4","4","1"
"1","361087A7FFBCFF2055ABFF32515DC968","http://doi.org/10.5281/zenodo.4473068","CA29FFDFFFC5FFA0553CFFA5506ACD15","2021","Zootaxa","4912","1","122","129","31","45","3"
"1","03BD87E66B1DFFBBAF89F977FD103E11","http://doi.org/10.5281/zenodo.4534569","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","125","127","1","3","1"
"1","03BD87E66B1EFF44AF89FEACFD103F2D","http://doi.org/10.5281/zenodo.4534573","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","128","130","2","4","1"
"1","03BD87E66BE6FF4DAF89FF05FD103ED4","http://doi.org/10.5281/zenodo.4537540","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","136","137","6","2","1"
"1","03BD87E66BE8FF4FAF89F977FD103FC9","http://doi.org/10.5281/zenodo.4560716","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","138","139","5","4","1"
"1","03BD87E66BEBFF49AF89FB29FD103835","http://doi.org/10.5281/zenodo.4534583","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","139","141","3","3","1"
"1","03D887EF620FFFA878DDFF016880F856","http://doi.org/10.5281/zenodo.4458059","FFE1FF976209FFA2784AFF966A79FFAE","2021","Zootaxa","4915","1","139","143","4","6","1"
"1","03BD87E66BEDFF48AF89FDA0FD103BD5","http://doi.org/10.5281/zenodo.4534585","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","141","142","1","4","1"
"1","03BD87E66BECFF4BAF89FE80FD103AF5","http://doi.org/10.5281/zenodo.4496576","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","142","143","3","4","1"
"1","039287A73852FFC3FF4FFC4EFD668A98","http://doi.org/10.5281/zenodo.4422836","FFABFFDF3850FFC5FFD8FF83FFC68F70","2021","Zootaxa","4903","1","142","146","1","35","1"
"1","03BD87E66BF5FF50AF89FE80FD103C0D","http://doi.org/10.5281/zenodo.4534597","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","149","150","1","2","1"
"1","03BD87E66BF6FF5DAF89F9B0FD103EE9","http://doi.org/10.5281/zenodo.4534599","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","152","153","8","4","1"
"1","A66B1A7CEF51D324FF0FFBB70945FCBF","http://doi.org/10.5281/zenodo.4651560","5A526204EF53D322FF98FFAA0D6FFF86","2021","Zootaxa","4948","2","153","157","40","33","12"
"1","03BD87E66BF8FF5CAF89FE03FD103AB6","http://doi.org/10.5281/zenodo.4496606","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","154","154","8","2","1"
"1","03BD87E66BFAFF59AF89F8FDFD103D99","http://doi.org/10.5281/zenodo.4496612","FF84FF9E6B61FFC5AF1EF86AFFDE3D4C","2021","Zootaxa","4922","1","156","157","2","4","1"
"1","03C787B8FFA7FFE3B55B56E6FD4BD7BE","http://doi.org/10.5281/zenodo.4694713","FFFEFFC0FFACFFF2B708540DFFFED01B","2021","European Journal of Taxonomy","744","1","156","162","1","51","1"
